,job_id,employer_name,job_publisher,job_employment_type,job_description,job_title,job_city,job_state,job_country
19,_Det3NalhLO_MlDCAAAAAA==,Aces Call Center Jobs Inc.,Kalibrr,FULLTIME,"• Produce call reports
• Maintains and improves quality results by adhering to standards and guidelines; recommending improved procedures.
• Identify customers’ needs, clarify information, research every issue and provide solutions and/or alternatives
• Obtain possible customer leads",CSR | Customer Service Representatives | Makati,Makati,NCR,PH
20,m_nRBuviGt1Pu-KRAAAAAA==,NeksJob Philippines,Indeed,FULLTIME,"As a call center agent, you will be the first point of contact for customers, providing customer satisfaction and professional assistance and utilizing excellent communication skills.

Qualification:
• At least HS Grad (old curriculum) SHS Graduate
• No Experience Required
• With Good to Excellent English communication skills both written and verbal
• Amenable to Work Onsite

Perks!
• Exciting Performance Bonuses
• Career Advancement Opportunities
• Promote Within the Company
• Comprehensive Healthcare Benefits

Job Types: Full-time, Permanent, Fresh graduate

Pay: Php17,000.00 - Php19,000.00 per month

Benefits:
• Company events
• Flexible schedule
• Health insurance
• Opportunities for promotion
• Pay raise
• Promotion to permanent employee

Schedule:
• 8 hour shift
• Shift system

Supplemental pay types:
• 13th month salary
• Commission pay
• Performance bonus
• Yearly bonus

Education:
• Senior High School (Preferred)

Language:
• English (Required)",Voice and Non Voice | Call Center Agent - Open for Without Exp. with Good Comms,Mandaluyong,NCR,PH
22,xriibVFxGC5U8OSyAAAAAA==,NeksJob Philippines,Glassdoor,FULLTIME,"Minimum Requirements?
- at least 18 years old
- at least HS graduate
- excellent communication skills

Why pick us?
Competitive Salary
Exciting Performance Bonuses & Account Specific Allowances
Career Advancement Opportunities
Promote Within the Company
Comprehensive Healthcare Benefits

Job Type: Permanent

Pay: From Php23,000.00 per month

Benefits:
• Flexible schedule
• Opportunities for promotion
• Pay raise
• Promotion to permanent employee
• Staff meals provided
• Transportation service provided

Schedule:
• 8 hour shift
• Flextime

Supplemental pay types:
• 13th month salary
• Bonus pay
• Commission pay
• Performance bonus
• Yearly bonus

Education:
• Senior High School (Preferred)

Experience:
• Call Center Representative: 1 year (Preferred)

Language:
• English (Preferred)",Call Center Agents - 1day process only,Parañaque,NCR,PH
25,hH3eUzNuziIHqgTAAAAAAA==,NeksJob Philippines,Jobslin,PERDIEM,"Urgent Hiring !!

As a Customer Service Representative (CSR) or Customer Support Representative plays an important role in providing help and support to customers over the phone. Ensure that all responses to customers and clients are provided with honesty and compassion.

Who are we looking for?

- HS Graduate / K12 / 1st year College : 1 year CCE

- College Undergrad ; 6 months CCE

- Good to Excellent Communication skills

- Amenable to Work Onsite

Perks!

Why pick us?

Competitive Salary

Exciting Performance Bonuses

Career Advancement Opportunities

Promote Within the Company

Comprehensive Healthcare Benefits",Call Center,,NCR,PH
27,1IfRfkNvaLDDwnziAAAAAA==,NeksJob Philippines,Indeed,FULLTIME,"Attracts potential customers by answering product and service questions; and suggesting information about other products and services. Opens customer accounts by recording account information. Maintains customer records by updating account information.

Qualifications
• At least high school graduate (old curriculum) or senior high school graduate (new curriculum)
• Good to excellent English communication skills
• Willing to start immediately.

What awaits you
• Very Competitive Salary!
• World-class facilities.
• Best Health insurance for you and your dependents
• Paid leaves
• Career advancement through our Track Trainee program.

Job Types: Full-time, Permanent, Fresh graduate

Pay: Php16,000.00 - Php20,000.00 per month

Benefits:
• Flextime
• Opportunities for promotion
• Paid training
• Pay raise
• Promotion to permanent employee

Schedule:
• 8 hour shift

Supplemental pay types:
• 13th month salary
• Commission pay
• Overtime pay
• Performance bonus

Education:
• Senior High School (Preferred)

Experience:
• Call Center Representative: 1 year (Preferred)

Language:
• English (Preferred)",Call Center Agent - Makati Site / Without BPO Experience Needed,Makati,NCR,PH
29,ZryJJNX6R4aYLU4yAAAAAA==,"transcomos Asia Philippines, Inc.",Glassdoor,FULLTIME,"What are we looking for:

We are looking for talented individuals who will join our team of Customer Service Representatives
• Must be at least 2 years college level.
• Must have at least 6 months experience in a BPO industry.
• Average to Good Communication Skills.
• Must be amenable to work onsite (Gilmore, Quezon City).
• Amenable to work on a shifting schedule.
• Can start ASAP.

Duties and Responsibilities:
• Assist customers through calls, emails and chats.
• Maintains customer confidence and protects operations by keeping information confidential.
• Identifying any problems with the database and taking appropriate action in discussion with the direct superior.
• May provide assistance and guidance to other data entry staff.

At Transcosmos, our mission is to leverage customer insights to always be client’s most trusted partner. As an Asian-originated company, our vision is to create a global society where everyone is equal and treated with respect. Transcosmos® emphasize customer-oriented approach by putting customers as our priority and value their feedback. Employee-oriented approach by working as an entity to achieve mutual organizational goals. As professionals, we work with pride, confidence and passion to fulfill responsibilities and accountabilities.

Rewarding Career

We support and encourage our people to grow in more than one dimension, to achieve all they can be both professionally and personally. As such, we provide our talents with opportunities to embrace changes, promote equal career advancement and growth, thus get rewarded.

Connected Team

We prioritize mutual understanding, open communication and empowerment to lead things and get everyone connected in the same page. This is manifested through sense of camaraderie, internal alignment, cooperation and collaboration across teams, territories and continents.

Intrinsic Values and Culture

We practice unique values and culture composition where local culture is prioritized and driven to immerse in global culture. It encompasses all aspects inclusive of fostering professional relationship enriched with transparent communication and mutual beliefs on gender equality, demographics, diversity and inclusion.

Job Types: Full-time, Part-time, Permanent

Pay: Php16,000.00 - Php17,500.00 per month

Benefits:
• Company Christmas gift
• Company events
• Opportunities for promotion
• Paid training
• Promotion to permanent employee

Schedule:
• 8 hour shift
• Shift system

Supplemental pay types:
• 13th month salary
• Overtime pay
• Performance bonus

Education:
• Bachelor's (Preferred)

Experience:
• Call Center Representative: 1 year (Preferred)

Language:
• English (Preferred)",Call Center Agent for Local Account,Lungsod Quezon,NCR,PH
30,XjK3KMrSjgjI5J8DAAAAAA==,Telesys,Jobs And Vacancies In Philippines,FULLTIME,"Requirements:
• • At least two years of college or equal education.
• • At least six months of experience in sales or customer service.
• • Good Communication Skills

Responsibilities:
• • Are you thrilled about delivering outstanding customer service? We need a lively Customer Service Representative in Mandaluyong. Join our team at Eton Cyberpod Ortigas.
• • Your Key Responsibilities
• • Provide top-notch tech support to our valued customers.
• • Address customer inquiries and resolve issues.
• • Maintain accurate records of customer interactions and transactions.

Benefits:
• • Perks You'll Enjoy
• • Competitive salary: Up to 16,000 PHP.
• • Comprehensive health coverage with HMO Plus for 3 dependents.
• • Generous leave entitlement: 28 Paid Leaves.
• • Extra benefits including 13th Month Pay and Government Mandated Benefits.
• • Exciting company-sponsored trips or retreats to look forward to.

Ready to Elevate Your Career?

If you're a dedicated professional ready for a new challenge, we invite you to be part of our team. Hit the ""Apply Now"" button.",Call Center Agent Paid Tech Support | No Experience,Maynila,NCR,PH
31,4_R22poTV_-0pBM5AAAAAA==,Aces Call Center Jobs Inc.,Kalibrr,FULLTIME,"• Handle all incoming calls for bank account-related concerns, fund transfers, banking application support, etc.
• Assist customers in navigating the bank's app and give relevant answers to inquiries on the app.
• Provide excellent customer service at all times while keeping customer information strictly confidential.",Call Center Agents | Financial Account | Fairview QC,Lungsod Quezon,NCR,PH
32,ldYG2VTe5jpGlGMOAAAAAA==,Metacom Bpo International,Talent.com,FULLTIME,"We at Metacom are continuously looking for candidates for our team.Jobs Responsibilities : Communicates with customer on the phone or by way of written correspondence to deal with concerns.

Resolves customer issues on the first call / contact whenever possible without having to transfer caller.Matching customers' demands to Clients' products and solutions and servicesUsing settlement and influencing abilities to recover from objections and achieve the customers' buy-inCommunicating specific information to internal and external clients and sharing understanding with colleaguesWhat Do We Offer?

An open, friendly and professional work environment.A professionally and personally rewarding career.Opportunities to grow and be promoted within the company.

Performance incentives and employee perks and benefits.Competitive Salary13th Month PayHMO with 3 free Beneficiaries on Day One20% ND Maternity / Paternity LeaveOpportunity for rapid career growth for Top PerformersRetirement / Life Insurance for Qualified StaffWork-life Balance Processes and ProgramsAPPLY NOW!",Newbie Account - Call Center Agent - Chat Support,Pasay,NCR,PH
34,IEB_vZSpeGc3GcYaAAAAAA==,Aces Call Center Jobs Inc.,Kalibrr,FULLTIME,"• Provide customers with product and service information to assist them with making buying decisions.
• Assist with order taking and monitoring of order fulfillment.
• Able to handle rejections and provide alternative services or products based on customer preferences.
• Responsible for meeting individual and team matrices.",Call Center Sales Associates | Cubao,Lungsod Quezon,NCR,PH
36,VjuCAG-B1LctNzlNAAAAAA==,Metacom,Talent.com,FULLTIME,"Job Responsibilities : Follow standard operations and procedures. Recognize and escalate priority problems in accordance with Client standards.

Ensure one call resolution prioritizing customer satisfaction. Perform basic troubleshooting when necessary.Qualifications : * With or without BPO Experience* At least High School Graduate (Old curriculum) / ALS Graduate / College Graduate* Excellent phone etiquette and excellent verbal, written, and interpersonal skills* Ability to multi-task, organize, and prioritize workInterested applicants may click the Apply Now button!",Be Call Center Agent here in Makati,Maynila,NCR,PH
37,AXOSmDZOQ2KEdrKaAAAAAA==,NeksJob Philippines,Jobslin,PARTTIME,"Who are we looking for?

- At least 18 years old

- At least Highschool Graduate with Customer Facing Experience

- SHS Grad / College Undergrad / College Grad no experience needed

- Preferably with Call Center Experience but not required

- With Good to Excellent English communication skills both written and verbal

- Amenable to Work Onsite

Perks! ✨

Competitive Salary Awaits You

Specific Allowances

Exciting Performance Bonuses & Account

Career Advancement Opportunities",Customer Service Representative,,NCR,PH
39,Y-bIjfX3D8umioW5AAAAAA==,Neksjob Philippines,Talent.com,FULLTIME,"Calling all BPO Professionals and Aspiring BPO Professionals! Here’s your chance to get a head start in your professional careerRoles and ResponsibilitiesInteract with the customers to provide them with the information and assistance they need on our client’s products and services over the phone.

Provide excellent customer service by focusing on providing a great experienceQUALIFICATIONS?At least 18 years oldHS Grad (old curriculum) or SHS GradAt least 18 months Exp.

in handling Banking, Financial Services and InsuranceExcellent communication skillsAmenable to start ASAPWork OnsitePerks!Easy ProcessCompetitive SalaryExcellent incentives for referralsExciting Performance Bonuses Career Advancement Opportunities",Call Center Agent with Experience -Up to 24k salary - Quezon City,Lungsod Quezon,NCR,PH
40,vNWxDq9aZltpGsfSAAAAAA==,Aces Call Center Jobs Inc.,Kalibrr,FULLTIME,"• Provide answers to clients by:
• Identifying problems.
• Researching answers.
• Guiding client through corrective steps.
• Respond to questions.
• Resolve problems by:
• Clarifying issues.
• Researching and exploring answers and alternative solutions.
• Implementing solutions.
• Escalating unresolved problems.
• Obtain possible customer leads.",Call Center Agent | Ortigas Center,Mandaluyong,NCR,PH
41,PiZa6dSiHsT6lrImAAAAAA==,NeksJob Philippines,Glassdoor,FULLTIME,"REQUIREMENTS:
- 1 year customer service exp (BPO or Non Bpo)
- High School Graduate/SHS Graduate
- Basic computer navigation skills
-Excellent Communication skills

Perks:
- Competitive salary package, company bonuses, and performance incentives
- Night differential
- Loyalty, Christmas gift, inclusion, and diversity benefits
- Paid sick and vacation leaves
- HMO coverage
- Life insurance
- Retirement plan

Job Type: Permanent

Pay: From Php25,000.00 per month

Benefits:
• Opportunities for promotion
• Pay raise
• Promotion to permanent employee
• Staff meals provided

Schedule:
• 8 hour shift
• Flextime

Supplemental pay types:
• 13th month salary
• Yearly bonus

Education:
• Senior High School (Preferred)

Experience:
• Call Center Representative: 1 year (Preferred)

Language:
• English (Preferred)",Call Center Agent - (Phone Interview) 25k Pay - Mckinley Taguig,Taguig,NCR,PH
43,CHofQZtrmHMTaOU2AAAAAA==,Sapient Careers MNL,Indeed,FULLTIME,"One-day hiring process! Earn from 20k up to 40k monthly! Sapient is looking for dedicated Customer Service Representatives to join our team! This is for urgent hiring, submit your application now!

Responsibilities:

Answer incoming customer calls and inquiries

Provide information and assistance to customers

Resolve customer complaints and escalate issues as needed

Maintain accurate records of customer interactions and transactions

Collaborate with team members and other stakeholders to improve customer service processes

Qualifications:

Must have 2 years BPO experience or 2 years of accumulated work experience in a formal setting (Freelance jobs not counted)

Must be willing to work Onsite

Students are not allowed in any circumstance, regardless if they are only taking a masters degree

FAQS:

Earn 20k to 40k: meaning the salary offer will depend on your years of experience and other qualifications

Must be willing to work onsite

BE PART OF A GROWING TEAM AND ENJOY WORK-LIFE BALANCE!

Apply today!

Job Types: Full-time, Permanent, Fresh graduate

Pay: Php20,000.00 - Php40,000.00 per month

Benefits:
• Opportunities for promotion
• Paid training
• Promotion to permanent employee

Schedule:
• 8 hour shift
• Monday to Friday
• Rotational shift

Supplemental pay types:
• 13th month salary
• Performance bonus
• Quarterly bonus

Education:
• Bachelor's (Preferred)

Experience:
• Call Center Representative: 2 years (Required)

Language:
• English (Required)",Competitive perks and incentives - Paid training | CALL CENTER AGENT- up to 40k,Maynila,NCR,PH
